job titles,locations
,
Civil Engineer,"Alexandria, Egypt "
,
Site Civil Engineer,"Ain Sokhna, Suez, Egypt "
,
Senior Planning Engineer (Civil / Structure),"10th of Ramadan City, Sharqia, Egypt "
,
Procurement manager - Civil Engineer,"10th of Ramadan City, Sharqia, Egypt "
,
Civil Technical Office Engineer (On Site),"Downtown, Cairo, Egypt "
,
Civil Site Engineer,"New Cairo, Cairo, Egypt "
,
Civil Site Engineer,"New Cairo, Cairo, Egypt "
,
Senior Civil Engineer,"Heliopolis, Cairo, Egypt "
,
Civil Engineer,"New Cairo, Cairo, Egypt "
,
Civil Technical Office Engineer,"New Cairo, Cairo, Egypt "
,
Civil Technical Office Engineer,"Nasr City, Cairo, Egypt "
,
Senior Project Manager (Civil ),"Nasr City, Cairo, Egypt "
,
Civil technical office engineer,"Sohag, Egypt "
,
Civil Site Engineer,"Nasr City, Cairo, Egypt "
,
Project Manager (Civil - Mechanical) (Toshka),"Aswan, Aswan, Egypt "
,
Site Manager - CIVIL - KSA,"Giza, Egypt "
,
Junior Technical Office Engineer - (Civil &Architecture),"Mokattam, Cairo, Egypt "
,
Civil Maintenance Engineer,"Giza, Egypt "
,
Civil Technical Office Engineer,"Sidi Gaber, Alexandria, Egypt "
,
Civil Technical Office Engineer (Structure Workshop Drawing),"Cairo, Egypt "
,
"Civil Technical Office Section head ""steel structure""","Alexandria, Egypt "
,
"Engineer (Civil, Mechanical, Electrical and Planning) - Water Treatment - KSA","Khobar, Saudi Arabia "
,
"Senior Engineer (Civil, Mechanical, Electrical and Planning) - Water Treatment - KSA","Khobar, Saudi Arabia "
,
Civil Project Managers,"Giza, Egypt "
,
Senior Tender Engineer - French Speaker Only,"New Cairo, Cairo, Egypt "
,
Quantity Surveying Engineer,"Maadi, Cairo, Egypt "
,
Senior Planning Engineer,"Sheikh Zayed, Giza, Egypt "
,
Senior Quality Control Engineer,"Giza, Egypt "
,
Senior Site Engineer,"New Cairo, Cairo, Egypt "
,
Quality Control Engineer (Toshka),"Aswan, Aswan, Egypt "
,
Planning engineer (Toshka),"Aswan, Aswan, Egypt "
,
Site Engineering (Infrastructure),"Nasr City, Cairo, Egypt "
,
Technical Office Engineer (Architecture),"New Cairo, Cairo, Egypt "
,
Senior Planning Engineer,"New Cairo, Cairo, Egypt "
